freq [Hz];L [dB];
800000000;-37,069976806640625;
800600000;-36,978252410888672;
801200000;-37,0010986328125;
801800000;-36,988494873046875;
802400000;-37,089771270751953;
803000000;-37,027149200439453;
803600000;-36,985809326171875;
804200000;-37,084392547607422;
804800000;-37,227718353271484;
805400000;-37,134326934814453;
806000000;-37,156978607177734;
806600000;-37,238899230957031;
807200000;-37,211151123046875;
807800000;-37,247230529785156;
808400000;-37,305912017822266;
809000000;-37,304901123046875;
809600000;-37,313709259033203;
810200000;-37,309520721435547;
810800000;-37,320472717285156;
811400000;-37,294425964355469;
812000000;-37,231971740722656;
812600000;-37,297168731689453;
813200000;-37,27740478515625;
813800000;-37,463699340820313;
814400000;-37,433853149414063;
815000000;-37,423656463623047;
815600000;-37,502326965332031;
816200000;-37,618762969970703;
816800000;-37,660160064697266;
817400000;-37,795860290527344;
818000000;-37,883174896240234;
818600000;-37,956821441650391;
819200000;-38,0074462890625;
819800000;-38,093864440917969;
820400000;-38,112224578857422;
821000000;-38,263111114501953;
821600000;-38,347759246826172;
822200000;-38,363540649414063;
822800000;-38,453742980957031;
823400000;-38,536823272705078;
824000000;-38,599445343017578;
824600000;-38,676029205322266;
825200000;-38,735950469970703;
825800000;-38,871833801269531;
826400000;-38,967117309570313;
827000000;-39,032360076904297;
827600000;-39,107646942138672;
828200000;-39,142101287841797;
828800000;-39,227714538574219;
829400000;-39,283256530761719;
830000000;-39,410270690917969;
830600000;-39,413040161132812;
831200000;-39,406173706054687;
831800000;-39,484992980957031;
832400000;-39,509834289550781;
833000000;-39,512397766113281;
833600000;-39,541561126708984;
834200000;-39,596626281738281;
834800000;-39,588218688964844;
835400000;-39,573734283447266;
836000000;-39,630886077880859;
836600000;-39,623020172119141;
837200000;-39,642227172851563;
837800000;-39,637786865234375;
838400000;-39,660690307617188;
839000000;-39,651229858398438;
839600000;-39,606491088867188;
840200000;-39,671318054199219;
840800000;-39,603599548339844;
841400000;-39,651435852050781;
842000000;-39,547672271728516;
842600000;-39,463859558105469;
843200000;-39,449134826660156;
843800000;-39,390853881835937;
844400000;-39,368377685546875;
845000000;-39,292110443115234;
845600000;-39,308265686035156;
846200000;-39,256717681884766;
846800000;-39,109077453613281;
847400000;-39,120506286621094;
848000000;-39,072166442871094;
848600000;-38,979068756103516;
849200000;-38,912235260009766;
849800000;-38,833503723144531;
850400000;-38,852294921875;
851000000;-38,762836456298828;
851600000;-38,678577423095703;
852200000;-38,677295684814453;
852800000;-38,563709259033203;
853400000;-38,502429962158203;
854000000;-38,451004028320313;
854600000;-38,427337646484375;
855200000;-38,292945861816406;
855800000;-38,182323455810547;
856400000;-38,11083984375;
857000000;-38,048725128173828;
857600000;-38,007816314697266;
858200000;-38,029041290283203;
858800000;-37,919269561767578;
859400000;-37,941814422607422;
860000000;-37,820835113525391;
860600000;-37,803741455078125;
861200000;-37,789619445800781;
861800000;-37,802970886230469;
862400000;-37,85748291015625;
863000000;-37,831806182861328;
863600000;-37,840629577636719;
864200000;-37,856575012207031;
864800000;-37,920162200927734;
865400000;-37,886512756347656;
866000000;-37,915828704833984;
866600000;-37,923377990722656;
867200000;-37,952678680419922;
867800000;-38,046760559082031;
868400000;-38,030025482177734;
869000000;-38,102703094482422;
869600000;-38,2021484375;
870200000;-38,268867492675781;
870800000;-38,373077392578125;
871400000;-38,372333526611328;
872000000;-38,507080078125;
872600000;-38,638042449951172;
873200000;-38,756484985351563;
873800000;-38,869461059570313;
874400000;-38,929756164550781;
875000000;-38,984600067138672;
875600000;-39,141178131103516;
876200000;-39,210399627685547;
876800000;-39,271888732910156;
877400000;-39,358173370361328;
878000000;-39,443115234375;
878600000;-39,519760131835938;
879200000;-39,626461029052734;
879800000;-39,726249694824219;
880400000;-39,870723724365234;
881000000;-39,887073516845703;
881600000;-39,983299255371094;
882200000;-40,103771209716797;
882800000;-40,253181457519531;
883400000;-40,402309417724609;
884000000;-40,550155639648438;
884600000;-40,569007873535156;
885200000;-40,635368347167969;
885800000;-40,787300109863281;
886400000;-40,850620269775391;
887000000;-40,937171936035156;
887600000;-40,923789978027344;
888200000;-41,019927978515625;
888800000;-41,036975860595703;
889400000;-41,107223510742188;
890000000;-41,258960723876953;
890600000;-41,242420196533203;
891200000;-41,331581115722656;
891800000;-41,319286346435547;
892400000;-41,539066314697266;
893000000;-41,597202301025391;
893600000;-41,720668792724609;
894200000;-41,863735198974609;
894800000;-41,963237762451172;
895400000;-42,120468139648438;
896000000;-42,279674530029297;
896600000;-42,367599487304688;
897200000;-42,444240570068359;
897800000;-42,269866943359375;
898400000;-42,3828125;
899000000;-42,647674560546875;
899600000;-42,710639953613281;
900200000;-42,489738464355469;
900800000;-42,363037109375;
901400000;-42,807842254638672;
902000000;-43,069965362548828;
902600000;-43,139259338378906;
903200000;-43,098861694335938;
903800000;-42,846786499023438;
904400000;-42,504627227783203;
905000000;-41,592212677001953;
905600000;-40,654682159423828;
906200000;-40,113681793212891;
906800000;-39,130878448486328;
907400000;-37,936481475830078;
908000000;-36,863998413085937;
908600000;-36,589988708496094;
909200000;-35,425334930419922;
909800000;-33,888282775878906;
910400000;-32,824455261230469;
911000000;-31,312501907348633;
911600000;-29,805702209472656;
912200000;-28,74736213684082;
912800000;-27,27977180480957;
913400000;-26,287567138671875;
914000000;-24,833015441894531;
914600000;-23,647930145263672;
915200000;-21,977085113525391;
915800000;-20,406637191772461;
916400000;-18,819425582885742;
917000000;-17,640865325927734;
917600000;-16,179147720336914;
918200000;-14,836050987243652;
918800000;-13,893472671508789;
919400000;-13,098755836486816;
920000000;-12,45231819152832;
920600000;-11,638169288635254;
921200000;-10,987335205078125;
921800000;-10,470549583435059;
922400000;-10,072475433349609;
923000000;-9,7657241821289062;
923600000;-9,5528726577758789;
924200000;-9,3588285446166992;
924800000;-9,1712512969970703;
925400000;-9,1079750061035156;
926000000;-8,934779167175293;
926600000;-8,7513599395751953;
927200000;-8,5509815216064453;
927800000;-8,40692138671875;
928400000;-8,2836332321166992;
929000000;-8,0651330947875977;
929600000;-7,8098545074462891;
930200000;-7,5976448059082031;
930800000;-7,3763728141784668;
931400000;-7,2033858299255371;
932000000;-7,0550327301025391;
932600000;-6,9370641708374023;
933200000;-6,8983330726623535;
933800000;-6,8556380271911621;
934400000;-6,7805747985839844;
935000000;-6,6647672653198242;
935600000;-6,5622091293334961;
936200000;-6,504939079284668;
936800000;-6,4748363494873047;
937400000;-6,459754467010498;
938000000;-6,4842987060546875;
938600000;-6,5767831802368164;
939200000;-6,6491489410400391;
939800000;-6,7587566375732422;
940400000;-6,8935642242431641;
941000000;-7,0523796081542969;
941600000;-7,2563047409057617;
942200000;-7,4475769996643066;
942800000;-7,5787038803100586;
943400000;-7,6960000991821289;
944000000;-7,8372159004211426;
944600000;-7,9792952537536621;
